id	sale_price
969799677	67.19 BRL
969799680	67.19 BRL
969799684	67.19 BRL
969799696	67.19 BRL
969799699	67.19 BRL
969799703	67.19 BRL
969799710	67.19 BRL
969799712	67.19 BRL
969799715	67.19 BRL
969800287	67.19 BRL
969800291	67.19 BRL
969800295	67.19 BRL
969800301	67.19 BRL
969800306	67.19 BRL
969800313	67.19 BRL
969800319	67.19 BRL
969800325	67.19 BRL
969800329	67.19 BRL
969800334	67.19 BRL
969800338	67.19 BRL
969800342	67.19 BRL
969800346	67.19 BRL
969800351	67.19 BRL
969800355	67.19 BRL
969800361	67.19 BRL
969800367	67.19 BRL
969800373	67.19 BRL
969800379	67.19 BRL
969800387	67.19 BRL
969800393	67.19 BRL
969800399	67.19 BRL
969800404	67.19 BRL
969800407	67.19 BRL
969800410	67.19 BRL
969801105	67.19 BRL
969801109	67.19 BRL
969801112	67.19 BRL
969801115	67.19 BRL
969801137	67.19 BRL
969801142	67.19 BRL
969801145	67.19 BRL
969801148	67.19 BRL
969801150	67.19 BRL
969801154	67.19 BRL
969801155	67.19 BRL
969801157	67.19 BRL
969801159	67.19 BRL
969801163	67.19 BRL
969801166	67.19 BRL
969801168	67.19 BRL
983079881	191.99 BRL
983084274	191.99 BRL
1005323232	86.39 BRL
1005326153	105.59 BRL
1005344750	28.79 BRL
1005345154	28.79 BRL
1005349311	124.79 BRL
1019745397	38.39 BRL
1019745400	38.39 BRL
1020538317	38.39 BRL
1020538598	38.39 BRL
1020538699	38.39 BRL
1020538944	38.39 BRL
1020539188	38.39 BRL
1056900985	767.99 BRL
1056908920	767.99 BRL
1056918165	393.59 BRL
1059294839	38.40 BRL
1069491966	182.39 BRL
1069500450	115.19 BRL
1069506739	76.79 BRL
1069515564	76.79 BRL
1069517713	57.59 BRL
1069521522	67.19 BRL
1069525004	12.47 BRL
1070415136	38.39 BRL
1070422517	12.47 BRL
1070426476	14.39 BRL
1070429571	19.19 BRL
1114275723	863.99 BRL
1114275991	863.99 BRL
1197464431	38.39 BRL
1197524078	28.79 BRL
1197617001	31.67 BRL
1197623503	33.59 BRL
1224953903	172.88 BRL
1224953909	163.19 BRL
1224953916	163.19 BRL
1224953921	163.19 BRL
1224953927	163.19 BRL
1224953929	163.19 BRL
1224953935	163.19 BRL
1224953937	163.19 BRL
1224953941	172.88 BRL
1224953943	172.88 BRL
1224953946	172.88 BRL
