janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
08-07 a 17-07,2026-07-15,FBADS-757-106277939,"11,74","10,31","1,43",paga,Glauber_Meta_2026-07-15_NF106277939.pdf
08-07 a 17-07,2026-07-16,FBADS-757-106280867,"7,61","6,69","0,92",paga,Glauber_Meta_2026-07-16_NF106280867.pdf
08-07 a 17-07,2026-07-16,FBADS-757-106280879,"620,11","544,77","75,34",paga,Glauber_Meta_2026-07-16_NF106280879.pdf
08-07 a 17-07,2026-07-17,(sem nº — aporte de saldo),"176,29",,,recusada,Glauber_Meta_2026-07-17_APORTE-SEM-NF_RECUSADA.pdf
08-07 a 17-07,2026-07-17,(sem nº — aporte de saldo),"1000,00",,,aporte de saldo,Glauber_Meta_2026-07-17_APORTE-SEM-NF.pdf
08-07 a 17-07,2026-07-17,FBADS-757-106286072,"176,29","154,87","21,42",paga,Glauber_Meta_2026-07-17_NF106286072.pdf
08-07 a 17-07,2026-07-17,FBADS-757-106286192,"46,46","40,82","5,64",paga,Glauber_Meta_2026-07-17_NF106286192.pdf
08-07 a 17-07,2026-07-17,FBADS-757-106286229,"53,24","46,77","6,47",paga,Glauber_Meta_2026-07-17_NF106286229.pdf
08-07 a 17-07,2026-07-17,FBADS-757-106286237,"8,18","7,19","0,99",paga,Glauber_Meta_2026-07-17_NF106286237.pdf
18-07 a 31-07,2026-07-18,FBADS-757-106289564,"165,45","145,35","20,10",paga,Glauber_Meta_2026-07-18_NF106289564.pdf
18-07 a 31-07,2026-07-19,FBADS-757-106296982,"0,02","0,02","0,00",paga,Glauber_Meta_2026-07-19_NF106296982.pdf
18-07 a 31-07,2026-07-24,FBADS-757-106322659,"834,52","733,13","101,39",paga,Glauber_Meta_2026-07-24_NF106322659.pdf
18-07 a 31-07,2026-07-24,FBADS-757-106322660,"123,77","108,73","15,04",paga,Glauber_Meta_2026-07-24_NF106322660.pdf
18-07 a 31-07,2026-07-24,FBADS-757-106322665,"1554,33","1365,48","188,85",paga,Glauber_Meta_2026-07-24_NF106322665.pdf
18-07 a 31-07,2026-07-26,FBADS-757-106331949,"196,42","172,56","23,86",paga,Glauber_Meta_2026-07-26_NF106331949.pdf
18-07 a 31-07,2026-07-28,FBADS-757-106341618,"1515,22","1331,13","184,09",paga,Glauber_Meta_2026-07-28_NF106341618.pdf
18-07 a 31-07,2026-07-28,FBADS-757-106341631,"227,65","199,99","27,66",paga,Glauber_Meta_2026-07-28_NF106341631.pdf
18-07 a 31-07,2026-07-29,FBADS-757-106345529,"6,23","5,47","0,76",paga,Glauber_Meta_2026-07-29_NF106345529.pdf
18-07 a 31-07,2026-07-29,FBADS-757-106345531,"1336,56","1174,17","162,39",paga,Glauber_Meta_2026-07-29_NF106345531.pdf
18-07 a 31-07,2026-07-30,FBADS-757-106350406,"4,87","4,28","0,59",paga,Glauber_Meta_2026-07-30_NF106350406.pdf
18-07 a 31-07,2026-07-30,FBADS-757-106350408,"1763,88","1549,57","214,31",paga,Glauber_Meta_2026-07-30_NF106350408.pdf
18-07 a 31-07,2026-07-31,FBADS-757-106358224,"4,85","4,26","0,59",paga,Glauber_Meta_2026-07-31_NF106358224.pdf
18-07 a 31-07,2026-07-31,FBADS-757-106358242,"1122,46","986,08","136,38",paga,Glauber_Meta_2026-07-31_NF106358242.pdf
01-08 a 14-08,2026-08-02,FBADS-757-106365342,"1,06","0,93","0,13",paga,Glauber_Meta_2026-08-02_NF106365342.pdf
01-08 a 14-08,2026-08-02,FBADS-757-106365346,"921,28","809,35","111,93",paga,Glauber_Meta_2026-08-02_NF106365346.pdf
01-08 a 14-08,2026-08-03,FBADS-757-106369792,"4,98","4,37","0,61",paga,Glauber_Meta_2026-08-03_NF106369792.pdf
01-08 a 14-08,2026-08-03,FBADS-757-106369797,"924,36","812,05","112,31",paga,Glauber_Meta_2026-08-03_NF106369797.pdf
01-08 a 14-08,2026-08-04,FBADS-757-106375104,"6,42","5,64","0,78",paga,Glauber_Meta_2026-08-04_NF106375104.pdf
01-08 a 14-08,2026-08-04,FBADS-757-106375109,"918,51","806,91","111,60",paga,Glauber_Meta_2026-08-04_NF106375109.pdf
01-08 a 14-08,2026-08-05,FBADS-757-106379872,"0,70","0,61","0,09",paga,Glauber_Meta_2026-08-05_NF106379872.pdf
01-08 a 14-08,2026-08-05,FBADS-757-106379876,"920,46","808,63","111,83",paga,Glauber_Meta_2026-08-05_NF106379876.pdf
01-08 a 14-08,2026-08-06,(sem nº — aporte de saldo),"841,37",,,recusada,Glauber_Meta_2026-08-06_APORTE-SEM-NF_RECUSADA.pdf
01-08 a 14-08,2026-08-06,(sem nº — aporte de saldo),"914,51",,,recusada,Glauber_Meta_2026-08-06_APORTE-SEM-NF_RECUSADA_2.pdf
01-08 a 14-08,2026-08-06,FBADS-757-106385333,"3,95","3,47","0,48",paga,Glauber_Meta_2026-08-06_NF106385333.pdf
01-08 a 14-08,2026-08-06,FBADS-757-106385335,"923,21","811,04","112,17",paga,Glauber_Meta_2026-08-06_NF106385335.pdf
01-08 a 14-08,2026-08-06,FBADS-757-106388313,"11,73","10,30","1,43",paga,Glauber_Meta_2026-08-06_NF106388313.pdf
01-08 a 14-08,2026-08-08,FBADS-757-106395945,"1925,41","1691,48","233,93",paga,Glauber_Meta_2026-08-08_NF106395945.pdf
01-08 a 14-08,2026-08-08,FBADS-757-106396588,"430,11","377,85","52,26",paga,Glauber_Meta_2026-08-08_NF106396588.pdf
01-08 a 14-08,2026-08-08,FBADS-757-106396591,"11,69","10,27","1,42",paga,Glauber_Meta_2026-08-08_NF106396591.pdf
01-08 a 14-08,2026-08-08,FBADS-757-106396946,"19,38","17,03","2,35",paga,Glauber_Meta_2026-08-08_NF106396946.pdf
01-08 a 14-08,2026-08-10,FBADS-757-106405648,"1296,44","1138,93","157,51",paga,Glauber_Meta_2026-08-10_NF106405648.pdf
01-08 a 14-08,2026-08-10,FBADS-757-106405653,"1253,90","1101,55","152,35",paga,Glauber_Meta_2026-08-10_NF106405653.pdf
01-08 a 14-08,2026-08-10,FBADS-757-106406071,"69,95","61,45","8,50",paga,Glauber_Meta_2026-08-10_NF106406071.pdf
01-08 a 14-08,2026-08-12,FBADS-757-106415601,"3407,17","2993,21","413,96",paga,Glauber_Meta_2026-08-12_NF106415601.pdf
01-08 a 14-08,2026-08-12,FBADS-757-106415609,"11,69","10,27","1,42",paga,Glauber_Meta_2026-08-12_NF106415609.pdf
01-08 a 14-08,2026-08-12,FBADS-757-106415952,"98,38","86,43","11,95",paga,Glauber_Meta_2026-08-12_NF106415952.pdf
01-08 a 14-08,2026-08-12,FBADS-757-106416064,"54,71","48,06","6,65",paga,Glauber_Meta_2026-08-12_NF106416064.pdf
