id,title,brand,custom_label_0,custom_label_1,sale_price
4913,Mundial SA Colchete de Gancho pra Calça Eberle - 200 unidades - Níquel 13mm - CC8.885.11,Mundial SA,,TOPO_BUSCA,95.05 BRL
741,Botão com Pé Reto 9087 Dourado Liso - 50 unidades - 40 = 25mm,Roma Aviamentos,,TOPO_BUSCA,27.31 BRL
735,Botão com Pé Reto 9087 Dourado Liso - 50 unidades,Roma Aviamentos,,TOPO_BUSCA,12.02 BRL
10382,Acrilex Stencil desenho - golfinhos - 21cm X 7cm - 1285,Acrilex,,,9.83 BRL
9596,Ponto Curva - São José - 13mm x 10m - 7010/V - 7390-Branco.,São José,,,11.48 BRL
28515,Botão com Borda 4 furos Preto pct. com 50un. - 5099 - 5099/78.tam:50mm,Roma Aviamentos,,,35.95 BRL
31540,Botão com Borda 4 furos Preto pct. com 50un. - 5099 - 5099-Tam.28=18mm,Roma Aviamentos,,,8.64 BRL
1009,Botão com Borda 4 furos Preto pct. com 50un. - 5099,Roma Aviamentos,,,8.64 BRL
31543,Botão com Borda 4 furos Preto pct. com 50un. - 5099 - 5099-Tam.54=35mm,Roma Aviamentos,,,16.94 BRL
31541,Botão com Borda 4 furos Preto pct. com 50un. - 5099 - 5099-Tam.32=21mm,Roma Aviamentos,,,11.48 BRL
13517,Dizaro Brasil Bojo inteiro Branco - com 5 pares,Dizaro Brasil,,,29.50 BRL
13513,Dizaro Brasil Bojo inteiro Branco - com 5 pares - P,Dizaro Brasil,,,29.50 BRL
820,Botão 4 furos 9083 c/50 unidades - Branco,Roma Aviamentos,,,9.83 BRL
1066,Ponteira de Mola Cone 3084-2 Niquel pct. com 50un. - 1314,Roma Aviamentos,,,10.82 BRL
30446,Veceli Botões artesanais Kit B37 pimentas pct. com 7 unidades tam. 30mm - 24723,Veceli,,,11.48 BRL
13537,Carvalho e Ribeiro Bojo Meia Taça Preto - com 5 pares,Carvalho e Ribeiro,,,13.11 BRL
13535,Carvalho e Ribeiro Bojo Meia Taça Preto - com 5 pares - G,Carvalho e Ribeiro,,,13.11 BRL
13533,Carvalho e Ribeiro Bojo Meia Taça Preto - com 5 pares - P,Carvalho e Ribeiro,,,13.11 BRL
17160,Baxmann Grampo 11 pct. com 1000 unidades face funda - FL-Latonado.FF,Baxmann,,,32.23 BRL
17161,Baxmann Grampo 11 pct. com 1000 unidades face funda - FN-Niquel.FF,Baxmann,,,32.23 BRL
17162,Baxmann Grampo 11 pct. com 1000 unidades face funda - FOV-Ouro V. FF,Baxmann,,,32.23 BRL
26925,Círculo Agulha de crochê para fio barroco - 4.0mm - 18499,Círculo,,,9.51 BRL
23330,Ponteira sininho 5017 Onix pct. com 50un. - 6811,Roma Aviamentos,,,12.02 BRL
31542,Botão com Borda 4 furos Preto pct. com 50un. - 5099 - 5099-Tam.40=25mm,Roma Aviamentos,,,13.01 BRL
28499,Botão 4 furos c/50un cores diversas 6057/32 - 7046,Roma Aviamentos,,,10.82 BRL
4012,Botão 4 Furos 1010/24 brilho com borda c/144 unidades - Corozita - 1010-Fume172,Corozita,,TOPO_BUSCA,27.31 BRL
31261,Botão com Pé 9010 Preto liso - 50 unidades - 48 = 30mm,Roma Aviamentos,,TOPO_BUSCA,35.51 BRL
31260,Botão com Pé 9010 Preto liso - 50 unidades - 40 = 25mm,Roma Aviamentos,,TOPO_BUSCA,25.13 BRL
31258,Botão com Pé 9010 Preto liso - 50 unidades - 28 = 18mm,Roma Aviamentos,,TOPO_BUSCA,17.04 BRL
22467,Botão com Pé 9010 Preto liso - 50 unidades - 16 = 10mm,Roma Aviamentos,,TOPO_BUSCA,7.21 BRL
714,Botão com Pé 9010 Preto liso - 50 unidades,Roma Aviamentos,,TOPO_BUSCA,7.21 BRL
2967,Trader Cordão trançado c/20m - 1017 - 1017-1,Trader,,,26.77 BRL
2965,Trader Cordão trançado c/20m - 1017 - 10,Trader,,,26.77 BRL
2966,Trader Cordão trançado c/20m - 1017 - .1017-2,Trader,,,26.77 BRL
4909,Mundial SA Botão de pressão - Eberle - 200 unidades - Níquel - BT7.095.35.L - 4649,Mundial SA,,TOPO_BUSCA,80.85 BRL
31246,Botão com Pé 9010 Dourado liso - 50 unidades - 32 = 20mm,Roma Aviamentos,,TOPO_BUSCA,22.94 BRL
691,Botão com Pé 9010 Dourado liso - 50 unidades,Roma Aviamentos,,TOPO_BUSCA,10.82 BRL
31243,Botão com Pé 9010 Dourado liso - 50 unidades - 16 = 10mm,Roma Aviamentos,,TOPO_BUSCA,10.82 BRL
31244,Botão com Pé 9010 Dourado liso - 50 unidades - 24 = 15mm,Roma Aviamentos,,TOPO_BUSCA,15.85 BRL
31248,Botão com Pé 9010 Dourado liso - 50 unidades - 20 = 13mm,Roma Aviamentos,,TOPO_BUSCA,13.66 BRL
31245,Botão com Pé 9010 Dourado liso - 50 unidades - 28 = 18mm,Roma Aviamentos,,TOPO_BUSCA,18.57 BRL
24899,Marilda Faixa ponto cruz peça tam 50cm x 10cm pact. c/1 un. - 11035,Marilda,,,5.36 BRL
30445,Veceli Botões artesanais Kit B25 joanas pct. com 9 unidades - 24713,Veceli,,,11.48 BRL
27386,Acrilex Tinta vidro a base de água 37ml 01140 - 20866 - 20866.vdefol510,Acrilex,,,13.66 BRL
